 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Faixa Etária 1 e Ano atendimento
Lista Morb  CID-10: Malária por Plasmodium falciparum, Malária por Plasmodium vivax, Malária por Plasmodium malariae, Outras formas malária conf exames parasitológ, Malária não especificada
Período:Jan/2008-Ago/2020
"Faixa Etária 1";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"Menor 1 ano";6;177;164;176;166;109;89;66;76;63;98;119;91;32;1432
"1 a 4 anos";23;377;417;467;434;278;177;165;194;144;214;262;181;59;3392
"5 a 9 anos";24;288;365;381;363;270;140;134;120;113;178;164;140;56;2736
"10 a 14 anos";17;260;377;356;384;282;156;145;128;134;147;146;150;55;2737
"15 a 19 anos";37;409;472;587;484;359;244;192;193;191;257;231;188;74;3918
"20 a 29 anos";87;896;1121;1343;1045;701;561;430;411;415;437;456;459;193;8555
"30 a 39 anos";62;603;824;903;716;533;431;281;268;279;316;340;298;130;5984
"40 a 49 anos";38;420;499;594;545;330;237;200;180;160;209;189;189;81;3871
"50 a 59 anos";21;241;293;350;325;203;173;135;140;132;126;137;155;69;2500
"60 a 69 anos";9;121;152;150;184;99;87;63;63;61;67;70;50;19;1195
"70 a 79 anos";7;55;71;114;88;57;28;37;27;27;47;38;31;20;647
"80 anos e mais";1;42;31;32;47;37;23;18;10;18;18;25;14;5;321
"Total";332;3889;4786;5453;4781;3258;2346;1866;1810;1737;2114;2177;1946;793;37288
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
